ID	Individual	EXPERIMENT	RUN	FASTQ_URI	Factor_Value_disease	Factor_Value_cell_type
HP1507101_P4	HP1507101	ERX1702320	ERR1631987	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631987/ERR1631987.fastq.gz	normal	alpha cell
HP1507101_P5	HP1507101	ERX1702321	ERR1631988	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631988/ERR1631988.fastq.gz	normal	alpha cell
HP1507101_P8	HP1507101	ERX1702324	ERR1631991	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1631991/ERR1631991.fastq.gz	normal	alpha cell
HP1508501T2D_A1	HP1508501T2D	ERX1702326	ERR1631993	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1631993/ERR1631993.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_A10	HP1508501T2D	ERX1702327	ERR1631994	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1631994/ERR1631994.fastq.gz	type II diabetes mellitus	beta cell
HP1508501T2D_A11	HP1508501T2D	ERX1702328	ERR1631995	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1631995/ERR1631995.fastq.gz	type II diabetes mellitus	acinar cell
HP1508501T2D_A12	HP1508501T2D	ERX1702329	ERR1631996	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1631996/ERR1631996.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_A13	HP1508501T2D	ERX1702330	ERR1631997	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1631997/ERR1631997.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_A14	HP1508501T2D	ERX1702331	ERR1631998	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1631998/ERR1631998.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_A15	HP1508501T2D	ERX1702332	ERR1631999	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1631999/ERR1631999.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_A16	HP1508501T2D	ERX1702333	ERR1632000	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632000/ERR1632000.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_A17	HP1508501T2D	ERX1702334	ERR1632001	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632001/ERR1632001.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_A19	HP1508501T2D	ERX1702336	ERR1632003	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632003/ERR1632003.fastq.gz	type II diabetes mellitus	gamma cell
HP1508501T2D_A23	HP1508501T2D	ERX1702341	ERR1632008	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632008/ERR1632008.fastq.gz	type II diabetes mellitus	acinar cell
HP1508501T2D_A24	HP1508501T2D	ERX1702342	ERR1632009	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632009/ERR1632009.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_A3	HP1508501T2D	ERX1702343	ERR1632010	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632010/ERR1632010.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_A4	HP1508501T2D	ERX1702344	ERR1632011	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632011/ERR1632011.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_A7	HP1508501T2D	ERX1702347	ERR1632014	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632014/ERR1632014.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_A8	HP1508501T2D	ERX1702348	ERR1632015	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632015/ERR1632015.fastq.gz	type II diabetes mellitus	PSC cell
HP1508501T2D_B10	HP1508501T2D	ERX1702351	ERR1632018	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632018/ERR1632018.fastq.gz	type II diabetes mellitus	gamma cell
HP1508501T2D_B11	HP1508501T2D	ERX1702352	ERR1632019	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632019/ERR1632019.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_B12	HP1508501T2D	ERX1702353	ERR1632020	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632020/ERR1632020.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_B14	HP1508501T2D	ERX1702355	ERR1632022	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632022/ERR1632022.fastq.gz	type II diabetes mellitus	acinar cell
HP1508501T2D_B15	HP1508501T2D	ERX1702356	ERR1632023	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632023/ERR1632023.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_B16	HP1508501T2D	ERX1702357	ERR1632024	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632024/ERR1632024.fastq.gz	type II diabetes mellitus	beta cell
HP1508501T2D_B17	HP1508501T2D	ERX1702358	ERR1632025	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632025/ERR1632025.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_B18	HP1508501T2D	ERX1702359	ERR1632026	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632026/ERR1632026.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_B19	HP1508501T2D	ERX1702360	ERR1632027	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632027/ERR1632027.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_B2	HP1508501T2D	ERX1702361	ERR1632028	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632028/ERR1632028.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_B20	HP1508501T2D	ERX1702362	ERR1632029	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632029/ERR1632029.fastq.gz	type II diabetes mellitus	beta cell
HP1508501T2D_B21	HP1508501T2D	ERX1702363	ERR1632030	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632030/ERR1632030.fastq.gz	type II diabetes mellitus	co-expression cell
HP1508501T2D_B23	HP1508501T2D	ERX1702365	ERR1632032	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632032/ERR1632032.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_B24	HP1508501T2D	ERX1702366	ERR1632033	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632033/ERR1632033.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_B3	HP1508501T2D	ERX1702367	ERR1632034	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632034/ERR1632034.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_B4	HP1508501T2D	ERX1702368	ERR1632035	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632035/ERR1632035.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_B5	HP1508501T2D	ERX1702369	ERR1632036	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632036/ERR1632036.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_B8	HP1508501T2D	ERX1702372	ERR1632039	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632039/ERR1632039.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_B9	HP1508501T2D	ERX1702373	ERR1632040	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632040/ERR1632040.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_C10	HP1508501T2D	ERX1702375	ERR1632042	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632042/ERR1632042.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_C11	HP1508501T2D	ERX1702376	ERR1632043	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632043/ERR1632043.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_C12	HP1508501T2D	ERX1702377	ERR1632044	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632044/ERR1632044.fastq.gz	type II diabetes mellitus	PSC cell
HP1508501T2D_C13	HP1508501T2D	ERX1702378	ERR1632045	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632045/ERR1632045.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_C14	HP1508501T2D	ERX1702379	ERR1632046	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632046/ERR1632046.fastq.gz	type II diabetes mellitus	beta cell
HP1508501T2D_C15	HP1508501T2D	ERX1702380	ERR1632047	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632047/ERR1632047.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_C16	HP1508501T2D	ERX1702381	ERR1632048	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632048/ERR1632048.fastq.gz	type II diabetes mellitus	delta cell
HP1508501T2D_C17	HP1508501T2D	ERX1702382	ERR1632049	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632049/ERR1632049.fastq.gz	type II diabetes mellitus	beta cell
HP1508501T2D_C18	HP1508501T2D	ERX1702383	ERR1632050	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632050/ERR1632050.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_C19	HP1508501T2D	ERX1702384	ERR1632051	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632051/ERR1632051.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_C2	HP1508501T2D	ERX1702385	ERR1632052	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632052/ERR1632052.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_C20	HP1508501T2D	ERX1702386	ERR1632053	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632053/ERR1632053.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_C23	HP1508501T2D	ERX1702389	ERR1632056	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632056/ERR1632056.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_C24	HP1508501T2D	ERX1702390	ERR1632057	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632057/ERR1632057.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_C3	HP1508501T2D	ERX1702391	ERR1632058	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632058/ERR1632058.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_C4	HP1508501T2D	ERX1702392	ERR1632059	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632059/ERR1632059.fastq.gz	type II diabetes mellitus	beta cell
HP1508501T2D_C8	HP1508501T2D	ERX1702396	ERR1632063	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632063/ERR1632063.fastq.gz	type II diabetes mellitus	delta cell
HP1508501T2D_C9	HP1508501T2D	ERX1702397	ERR1632064	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632064/ERR1632064.fastq.gz	type II diabetes mellitus	MHC class II cell
HP1508501T2D_D1	HP1508501T2D	ERX1702398	ERR1632065	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632065/ERR1632065.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D10	HP1508501T2D	ERX1702399	ERR1632066	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632066/ERR1632066.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D11	HP1508501T2D	ERX1702400	ERR1632067	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632067/ERR1632067.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D13	HP1508501T2D	ERX1702402	ERR1632069	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632069/ERR1632069.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D14	HP1508501T2D	ERX1702403	ERR1632070	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632070/ERR1632070.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D15	HP1508501T2D	ERX1702404	ERR1632071	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632071/ERR1632071.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D16	HP1508501T2D	ERX1702405	ERR1632072	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632072/ERR1632072.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D17	HP1508501T2D	ERX1702406	ERR1632073	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632073/ERR1632073.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D18	HP1508501T2D	ERX1702407	ERR1632074	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632074/ERR1632074.fastq.gz	type II diabetes mellitus	acinar cell
HP1508501T2D_D2	HP1508501T2D	ERX1702409	ERR1632076	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632076/ERR1632076.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D20	HP1508501T2D	ERX1702410	ERR1632077	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632077/ERR1632077.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D21	HP1508501T2D	ERX1702411	ERR1632078	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632078/ERR1632078.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D22	HP1508501T2D	ERX1702412	ERR1632079	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632079/ERR1632079.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_D24	HP1508501T2D	ERX1702414	ERR1632081	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632081/ERR1632081.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_D3	HP1508501T2D	ERX1702415	ERR1632082	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632082/ERR1632082.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D4	HP1508501T2D	ERX1702416	ERR1632083	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632083/ERR1632083.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_D5	HP1508501T2D	ERX1702417	ERR1632084	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632084/ERR1632084.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D6	HP1508501T2D	ERX1702418	ERR1632085	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632085/ERR1632085.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D8	HP1508501T2D	ERX1702420	ERR1632087	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632087/ERR1632087.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_D9	HP1508501T2D	ERX1702421	ERR1632088	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632088/ERR1632088.fastq.gz	type II diabetes mellitus	acinar cell
HP1508501T2D_E1	HP1508501T2D	ERX1702422	ERR1632089	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632089/ERR1632089.fastq.gz	type II diabetes mellitus	PSC cell
HP1508501T2D_E10	HP1508501T2D	ERX1702423	ERR1632090	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632090/ERR1632090.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E11	HP1508501T2D	ERX1702424	ERR1632091	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632091/ERR1632091.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_E12	HP1508501T2D	ERX1702425	ERR1632092	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632092/ERR1632092.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E13	HP1508501T2D	ERX1702426	ERR1632093	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632093/ERR1632093.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E14	HP1508501T2D	ERX1702427	ERR1632094	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632094/ERR1632094.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E15	HP1508501T2D	ERX1702428	ERR1632095	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632095/ERR1632095.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_E16	HP1508501T2D	ERX1702429	ERR1632096	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632096/ERR1632096.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_E17	HP1508501T2D	ERX1702430	ERR1632097	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632097/ERR1632097.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_E18	HP1508501T2D	ERX1702431	ERR1632098	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632098/ERR1632098.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E19	HP1508501T2D	ERX1702432	ERR1632099	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632099/ERR1632099.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E2	HP1508501T2D	ERX1702433	ERR1632100	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632100/ERR1632100.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E20	HP1508501T2D	ERX1702434	ERR1632101	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632101/ERR1632101.fastq.gz	type II diabetes mellitus	PSC cell
HP1508501T2D_E21	HP1508501T2D	ERX1702435	ERR1632102	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632102/ERR1632102.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E22	HP1508501T2D	ERX1702436	ERR1632103	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632103/ERR1632103.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E23	HP1508501T2D	ERX1702437	ERR1632104	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632104/ERR1632104.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E24	HP1508501T2D	ERX1702438	ERR1632105	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632105/ERR1632105.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_E4	HP1508501T2D	ERX1702440	ERR1632107	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632107/ERR1632107.fastq.gz	type II diabetes mellitus	acinar cell
HP1508501T2D_E5	HP1508501T2D	ERX1702441	ERR1632108	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632108/ERR1632108.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_E6	HP1508501T2D	ERX1702442	ERR1632109	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632109/ERR1632109.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E7	HP1508501T2D	ERX1702443	ERR1632110	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632110/ERR1632110.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_E8	HP1508501T2D	ERX1702444	ERR1632111	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632111/ERR1632111.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_E9	HP1508501T2D	ERX1702445	ERR1632112	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632112/ERR1632112.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_F1	HP1508501T2D	ERX1702446	ERR1632113	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632113/ERR1632113.fastq.gz	type II diabetes mellitus	beta cell
HP1508501T2D_F11	HP1508501T2D	ERX1702448	ERR1632115	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632115/ERR1632115.fastq.gz	type II diabetes mellitus	gamma cell
HP1508501T2D_F12	HP1508501T2D	ERX1702449	ERR1632116	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632116/ERR1632116.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_F14	HP1508501T2D	ERX1702451	ERR1632118	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632118/ERR1632118.fastq.gz	type II diabetes mellitus	MHC class II cell
HP1508501T2D_F15	HP1508501T2D	ERX1702452	ERR1632119	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632119/ERR1632119.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_F16	HP1508501T2D	ERX1702453	ERR1632120	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632120/ERR1632120.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_F17	HP1508501T2D	ERX1702454	ERR1632121	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632121/ERR1632121.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_F18	HP1508501T2D	ERX1702455	ERR1632122	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632122/ERR1632122.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_F2	HP1508501T2D	ERX1702457	ERR1632124	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632124/ERR1632124.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_F20	HP1508501T2D	ERX1702458	ERR1632125	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632125/ERR1632125.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_F21	HP1508501T2D	ERX1702459	ERR1632126	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632126/ERR1632126.fastq.gz	type II diabetes mellitus	acinar cell
HP1508501T2D_F22	HP1508501T2D	ERX1702460	ERR1632127	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632127/ERR1632127.fastq.gz	type II diabetes mellitus	unclassified endocrine cell
HP1508501T2D_F23	HP1508501T2D	ERX1702461	ERR1632128	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632128/ERR1632128.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_F24	HP1508501T2D	ERX1702462	ERR1632129	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632129/ERR1632129.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_F3	HP1508501T2D	ERX1702463	ERR1632130	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632130/ERR1632130.fastq.gz	type II diabetes mellitus	beta cell
HP1508501T2D_F4	HP1508501T2D	ERX1702464	ERR1632131	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632131/ERR1632131.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_F5	HP1508501T2D	ERX1702465	ERR1632132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632132/ERR1632132.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_F6	HP1508501T2D	ERX1702466	ERR1632133	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632133/ERR1632133.fastq.gz	type II diabetes mellitus	not applicable
HP1508501T2D_F7	HP1508501T2D	ERX1702467	ERR1632134	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632134/ERR1632134.fastq.gz	type II diabetes mellitus	beta cell
HP1508501T2D_F8	HP1508501T2D	ERX1702468	ERR1632135	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1632135/ERR1632135.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_F9	HP1508501T2D	ERX1702469	ERR1632136	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1632136/ERR1632136.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_G1	HP1508501T2D	ERX1702470	ERR1632137	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1632137/ERR1632137.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_G10	HP1508501T2D	ERX1702471	ERR1632138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1632138/ERR1632138.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_G11	HP1508501T2D	ERX1702472	ERR1632139	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1632139/ERR1632139.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_G12	HP1508501T2D	ERX1702473	ERR1632140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1632140/ERR1632140.fastq.gz	type II diabetes mellitus	acinar cell
HP1508501T2D_G13	HP1508501T2D	ERX1702474	ERR1632141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1632141/ERR1632141.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_G14	HP1508501T2D	ERX1702475	ERR1632142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1632142/ERR1632142.fastq.gz	type II diabetes mellitus	ductal cell
HP1508501T2D_G15	HP1508501T2D	ERX1702476	ERR1632143	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1632143/ERR1632143.fastq.gz	type II diabetes mellitus	alpha cell
HP1508501T2D_G16	HP1508501T2D	ERX1702477	ERR1632144	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1632144/ERR1632144.fastq.gz	type II diabetes mellitus	unclassified endocrine cell
